abrir,開ける,abro,abres,abre,abrimos,abrís,abren,abriendo,abierto,abrí,abriste,abrió,abrimos,abristeis,abrieron,abría,abrías,abría,abríamos,abríais,abrían,abriré,abrirás,abrirá,abriremos,abriréis,abrirán,abriría,abrirías,abriría,abriríamos,abriríais,abrirían,abra,abras,abra,abramos,abráis,abran,abriera,abrieras,abriera,abriéramos,abrierais,abrieran,abriere,abrieres,abriere,abriéremos,abriereis,abrieren,abre,abra,abrid,abran,
acabar,終わらせる,acabo,acabas,acaba,acabamos,acabáis,acaban,acabando,acabado,acabé,acabaste,acabó,acabamos,acabasteis,acabaron,acababa,acababas,acababa,acabábamos,acababais,acababan,acabaré,acabarás,acabará,acabaremos,acabaréis,acabarán,acabaría,acabarías,acabaría,acabaríamos,acabaríais,acabarían,acabe,acabes,acabe,acabemos,acabéis,acaben,acabara,acabaras,acabara,acabáramos,acabarais,acabaran,acabare,acabares,acabare,acabáremos,acabareis,acabaren,acaba,acabe,acabad,acaben,
acostar,寝かせる(acostarseで寝る),acuesto,acuestas,acuesta,acostamos,acostáis,acuestan,acostando,acostado,acosté,acostaste,acostó,acostamos,acostasteis,acostaron,acostaba,acostabas,acostaba,acostábamos,acostabais,acostaban,acostaré,acostarás,acostará,acostaremos,acostaréis,acostarán,acostaría,acostarías,acostaría,acostaríamos,acostaríais,acostarían,acueste,acuestes,acueste,acostemos,acostéis,acuesten,acostara,acostaras,acostara,acostáramos,acostarais,acostaran,acostare,acostares,acostare,acostáremos,acostareis,acostaren,acuesta,acueste,acostad,acuesten,
apetecer,気持ちをそそる,apetezco,apeteces,apetece,apetecemos,apetecéis,apetecen,apeteciendo,apetecido,apetecí,apeteciste,apeteció,apetecimos,apetecisteis,apetecieron,apetecía,apetecías,apetecía,apetecíamos,apetecíais,apetecían,apeteceré,apetecerás,apetecerá,apeteceremos,apeteceréis,apetecerán,apetecería,apetecerías,apetecería,apeteceríamos,apeteceríais,apetecerían,apetezca,apetezcas,apetezca,apetezcamos,apetezcáis,apetezcan,apeteciera,apetecieras,apeteciera,apeteciéramos,apetecierais,apetecieran,apeteciere,apetecieres,apeteciere,apeteciéremos,apeteciereis,apetecieren,apetece,apetezca,apeteced,apetezcan,
aprender,学ぶ,aprendo,aprendes,aprende,aprendemos,aprendéis,aprenden,aprendiendo,aprendido,aprendí,aprendiste,aprendió,aprendimos,aprendisteis,aprendieron,aprendía,aprendías,aprendía,aprendíamos,aprendíais,aprendían,aprenderé,aprenderás,aprenderá,aprenderemos,aprenderéis,aprenderán,aprendería,aprenderías,aprendería,aprenderíamos,aprenderíais,aprenderían,aprenda,aprendas,aprenda,aprendamos,aprendáis,aprendan,aprendiera,aprendieras,aprendiera,aprendiéramos,aprendierais,aprendieran,aprendiere,aprendieres,aprendiere,aprendiéremos,aprendiereis,aprendieren,aprende,aprenda,aprended,aprendan,
ayudar,助ける,ayudo,ayudas,ayuda,ayudamos,ayudáis,ayudan,ayudando,ayudado,ayudé,ayudaste,ayudó,ayudamos,ayudasteis,ayudaron,ayudaba,ayudabas,ayudaba,ayudábamos,ayudabais,ayudaban,ayudaré,ayudarás,ayudará,ayudaremos,ayudaréis,ayudarán,ayudaría,ayudarías,ayudaría,ayudaríamos,ayudaríais,ayudarían,ayude,ayudes,ayude,ayudemos,ayudéis,ayuden,ayudara,ayudaras,ayudara,ayudáramos,ayudarais,ayudaran,ayudare,ayudares,ayudare,ayudáremos,ayudareis,ayudaren,ayuda,ayude,ayudad,ayuden,
bailar,踊る,bailo,bailas,baila,bailamos,bailáis,bailan,bailando,bailado,bailé,bailaste,bailó,bailamos,bailasteis,bailaron,bailaba,bailabas,bailaba,bailábamos,bailabais,bailaban,bailaré,bailarás,bailará,bailaremos,bailaréis,bailarán,bailaría,bailarías,bailaría,bailaríamos,bailaríais,bailarían,baile,bailes,baile,bailemos,bailéis,bailen,bailara,bailaras,bailara,bailáramos,bailarais,bailaran,bailare,bailares,bailare,bailáremos,bailareis,bailaren,baila,baile,bailad,bailen,
bajar,下げる,bajo,bajas,baja,bajamos,bajáis,bajan,bajando,bajado,bajé,bajaste,bajó,bajamos,bajasteis,bajaron,bajaba,bajabas,bajaba,bajábamos,bajabais,bajaban,bajaré,bajarás,bajará,bajaremos,bajaréis,bajarán,bajaría,bajarías,bajaría,bajaríamos,bajaríais,bajarían,baje,bajes,baje,bajemos,bajéis,bajen,bajara,bajaras,bajara,bajáramos,bajarais,bajaran,bajare,bajares,bajare,bajáremos,bajareis,bajaren,baja,baje,bajad,bajen,
bastar,十分だ,basto,basto,basta,bastamos,bastáis,bastan,bastando,bastado,basté,bastaste,bastó,bastamos,bastasteis,bastaron,bastaba,bastabas,bastaba,bastábamos,bastabais,bastaban,bastaré,bastarás,bastará,bastaremos,bastaréis,bastarán,bastaría,bastarías,bastaría,bastaríamos,bastaríais,bastarían,baste,bastes,baste,bastemos,bastéis,basten,bastara,bastaras,bastara,bastáramos,bastarais,bastaran,bastare,bastares,bastare,bastáremos,bastareis,bastaren,basta,baste,bastad,basten,
beber,飲む,bebo,bebes,bebe,bebemos,bebéis,beben,bebiendo,bebido,bebí,bebiste,bebió,bebimos,bebisteis,bebieron,bebía,bebías,bebía,bebíamos,bebíais,bebían,beberé,beberás,beberá,beberemos,beberéis,beberán,bebería,beberías,bebería,beberíamos,beberíais,beberían,beba,bebas,beba,bebamos,bebáis,beban,bebiera,bebieras,bebiera,bebiéramos,bebierais,bebieran,bebiere,bebieres,bebiere,bebiéremos,bebiereis,bebieren,bebe,beba,bebed,beban,
